Filipino_Expression,English_Equivalent
acidic,acidity
ang bigat,obesity
ayaw kumain,loss of appetite
bahing ng bahing,continuous sneezing
balisa,restlessness
balisawsaw,burning micturition
barado ang ilong,congestion
barado ang sinus,sinus pressure
bulol magsalita,slurred speech
bumaba ang timbang,weight loss
bumibigat,weight gain
bumigay ang atay,acute liver failure
bundat,swelling of stomach
butlig,nodal skin eruptions
butlig butlig,nodal skin eruptions
delayed ang mens,abnormal menstruation
depress,depression
depressed,depression
di nabubusog,excessive hunger
dilaw ang mata,yellowing of eyes
dumudugo ang tiyan,stomach bleeding
dumudugo pag tae,bloody stool
dumudura ng dugo,blood in sputum
duwal nang duwal,vomiting
empacho,indigestion
gewang gewang,unsteadiness
giniginaw,chills
goiter,enlarged thyroid
gumamit ng maruming heringgilya,receiving unsterile injections
hilo,dizziness
hindi maganda ang pakiramdam,malaise
hindi magising,coma
hindi maigalaw ang leeg,stiff neck
hindi maintindihan ang salita,slurred speech
hindi makahinga,breathlessness
hindi makakain,loss of appetite
hindi makakita ng malinaw,blurred and distorted vision
hindi makalanghap,loss of smell
hindi makapag-focus,lack of concentration
hindi makatae,constipation
hindi makatayo nang tuwid,unsteadiness
hindi makatulog,restlessness
hindi mapakali,restlessness
hindi natunawan,indigestion
hindi normal ang asukal,irregular sugar level
hindi normal ang regla,abnormal menstruation
hindi pantay ang kuko,small dents in nails
hindi tuloy-tuloy ang ihi,spotting  urination
hinihingal,breathlessness
hirap at masakit dumumi,pain during bowel movements
hirap dumumi,constipation
hirap huminga,breathlessness
hirap igalaw,movement stiffness
hirap maglakad,painful walking
humihilab ang puson,belly pain
humihilab ang tiyan,stomach pain
iba-iba kulay ng balat,dischromic  patches
ihi nang ihi,polyuria
ihing-ihi,continuous feel of urine
iika-ika,painful walking
impatso,indigestion
inaapoy ng lagnat,high fever
insomnia,restlessness
inubo,cough
inuubo,cough
inuubong may dugo,blood in sputum
iritable,irritability
kalahati lang ng katawan ang gumagana,weakness of one body side
kalawangin na plema,rusty sputum
kaliskis sa balat,silver like dusting
kinakabag,passage of gases
kinakabahan,anxiety
kinakapos ng hininga,breathlessness
kulang sa tubig,dehydration
kulani,swelled lymph nodes
kulay dilaw ang ihi,yellow urine
kulay kalawang ang ihi,dark urine
kumakaba,fast heart rate
kumakabog ang dibdib,palpitations
kumakati,itching
kumikirot ang mata,pain behind the eyes
kumikirot ang puwit,pain in anal region
kumikirot ang ulo,headache
kumikirot pag dumudumi,pain during bowel movements
laging gustong umihi,continuous feel of urine
laging gutom,excessive hunger
laging nababahing,continuous sneezing
laging nag-aalala,anxiety
laging naghahanap ng pagkain,increased appetite
laging naluluha,watering from eyes
laging pagod,fatigue
laging umiihi,polyuria
laging umiinom,history of alcohol consumption
laging umuutot,passage of gases
lagnat,fever
lakas kumain,increased appetite
lasenggo,history of alcohol consumption
lbm,diarrhoea
likot nang likot,restlessness
litaw ang ugat sa binti,prominent veins on calf
litaw na ugat,swollen blood vessels
lubog ang mata,sunken eyes
lula,dizziness
lumaki ang kasukasuan,swelling joints
lumaki ang tiyan,swelling of stomach
lumalabas ang ugat sa binti,prominent veins on calf
lumalaki ang binti,swollen legs
lumalaki ang leeg,enlarged thyroid
lumalaki ang tiyan,distention of abdomen
lumalaking ugat,swollen blood vessels
lumiit ang mga binti at braso,muscle wasting
lumilipad ang isip,lack of concentration
lutang,lack of concentration
maamoy ang ihi,foul smell of urine
maasim ang sikmura,acidity
mabaho ang ihi,foul smell of urine
mabigat ang dibdib,chest pain
mabigat ang mukha,sinus pressure
mabigat sa mata,pain behind the eyes
mabilis ang tibok ng puso,fast heart rate
madalas umihi,polyuria
madaling mainis,irritability
madaling maputol na kuko,brittle nails
madikit na plema,mucoid sputum
madilaw ang balat,yellowish skin
madilaw na ihi,yellow urine
madilaw na madilaw ang ihi,dark urine
madilaw o brown na plema,rusty sputum
maga ang joints,swelling joints
maga ang kamay at paa,swollen extremeties
maga ang mata,puffy face and eyes
mahapdi ang butas ng puwit,irritation in anus
mahapdi umihi,burning micturition
mainitin ang ulo,irritability
maitim ang ihi,dark urine
makapal ang plema,phlegm
makapal na plema,mucoid sputum
makati,itching
makati ang katawan sa loob,internal itching
makati ang lalamunan,throat irritation
makati ang puwit,irritation in anus
makati sa loob,internal itching
makirot ang balakang,hip joint pain
makirot ang joints,joint pain
makirot ang pantog,bladder discomfort
makirot ang tuhod,knee pain
malabo ang mata,visual disturbances
malabo ang paningin,blurred and distorted vision
malakas ang dating ng regla,abnormal menstruation
malalaking tigyawat,pus filled pimples
malalim ang mata,sunken eyes
malamig ang kamay at paa,cold hands and feets
malungkot,depression
malutong na kuko,brittle nails
manas,fluid overload
manas ang binti,swollen legs
manas ang mukha,puffy face and eyes
manas ang paa at kamay,swollen extremeties
manginginom,history of alcohol consumption
mapanghi ang ihi,foul smell of urine
maraming blackheads,blackheads
maraming plema,phlegm
masakit ang balakang,hip joint pain
masakit ang dibdib,chest pain
masakit ang kalamnan,muscle pain
masakit ang kasukasuan,joint pain
masakit ang leeg,neck pain
masakit ang likod,back pain
masakit ang likod ng mata,pain behind the eyes
masakit ang mata,eye pain
masakit ang mga mata,eye pain
masakit ang mukha at ilong,sinus pressure
masakit ang paningin,eye pain
masakit ang puson,belly pain
masakit ang puwit,pain in anal region
masakit ang sikmura,stomach pain
masakit ang tiyan,abdominal pain
masakit ang tuhod,knee pain
masakit ang ulo,headache
masakit katawan,muscle pain
masakit lumunok,throat irritation
masakit maglakad,painful walking
masakit tumae,pain during bowel movements
masakit umihi,bladder discomfort
masama ang pakiramdam,malaise
mataas ang lagnat,high fever
matamlay,malaise
matigas ang kasukasuan,movement stiffness
may bukol sa leeg,enlarged thyroid
may bulati sa puwit,irritation in anus
may dilaw na katas ang sugat,yellow crust ooze
may dugo ang plema,blood in sputum
may dugo sa dumi,bloody stool
may dugo sa tiyan,stomach bleeding
may ibang kinakasama,extra marital contacts
may kulani,swelled lymph nodes
may mga bukol bukol sa balat,nodal skin eruptions
may mga butas ang kuko,small dents in nails
may mga itim itim sa mukha,blackheads
may mga pasa sa katawan,bruising
may mga pulang spot,red spots over body
may nana sa kuko,inflammatory nails
may paltos,blister
may pantal pantal,skin rash
may plema,phlegm
may pulikat,cramps
may puti puti sa lalamunan,patches in throat
may rashes,skin rash
may sinat,mild fever
may sugat sa dila,ulcers on tongue
may sugat sa ilong,red sore around nose
may tagpi sa lalamunan,patches in throat
may tagpi-tagpi sa balat,dischromic  patches
may tumutulong ihi,spotting  urination
may ubo,cough
medyo mainit ang katawan,mild fever
migraine,headache
mukhang lason,toxic look (typhos)
mukhang may sakit na malala,toxic look (typhos)
na-coma,coma
nadagdagan ng timbang,weight gain
naduduwal,nausea
nag tatae,diarrhoea
nag-iiba ang paningin,visual disturbances
nag-papalpitate,fast heart rate
nag-yellow ang mata,yellowing of eyes
nagbabago-bago ang mood,mood swings
nagbabakbak ang balat,skin peeling
nagbabalat,skin peeling
nagdudugo ang sikmura,stomach bleeding
nagka-allergy sa balat,skin rash
nagka-rashes na may bukol,nodal skin eruptions
nagkapaltos,blister
nagkapantal na pula,red spots over body
nagkapasa,bruising
nagkapeklat,scurring
nagkatubig ang balat,blister
nagluluha ang mata,watering from eyes
nagmamanas,fluid overload
nagnanana ang pimples,pus filled pimples
nagnanana na dilaw,yellow crust ooze
nagpapalpitate,palpitations
nagpasalin ng dugo,receiving blood transfusion
nagpasurok gamit ang maduming hiringgilya,receiving unsterile injections
nagsusuka,vomiting
nagtata-tae,diarrhoea
nagtatae,diarrhoea
nahihilo,dizziness
nahihirapan huminga,breathlessness
nahihirapang huminga,breathlessness
naiihi palagi,continuous feel of urine
nakabara sa ilong,congestion
nakakakita ng kung ano-ano,visual disturbances
nakakapagod,fatigue
nakipagtalik sa iba,extra marital contacts
namamaga ang binti,swollen legs
namamaga ang kamay at paa,swollen extremeties
namamaga ang kasukasuan,swelling joints
namamaga ang kuko,inflammatory nails
namamaga ang lalamunan,patches in throat
namamaga ang mukha at mata,puffy face and eyes
namamaga ang tiyan,swelling of stomach
namamagang kulani,swelled lymph nodes
namamagang ugat,swollen blood vessels
namamanhid,drying and tingling lips
namamanhid ang kabilang katawan,weakness of one body side
namamanhid ang labi,drying and tingling lips
namamayat,weight loss
namana sa pamilya,family history
namimintig ang tiyan,distention of abdomen
namumula ang mata,redness of eyes
namumula sa paligid ng ilong,red sore around nose
namumuti ang balat,dischromic  patches
namumutla na may pagka-dilaw,yellowish skin
nananakit ang mata,eye pain
nananakit ang mga kasukasuan,joint pain
nananakit ang mga laman,muscle pain
nananakit ang tiyan,abdominal pain
nangaliwa,extra marital contacts
nangangalay,cramps
nangangalay ang balakang,hip joint pain
nangangalay ang katawan,muscle pain
nangangalay ang leeg,neck pain
nangangalay ang likod,back pain
nangangalay ang puson pag naihi,bladder discomfort
nangangaligkig na labi,drying and tingling lips
nangangalumata,sunken eyes
nangangasim ang tiyan,acidity
nangangati,itching
nangangati ang lalamunan,throat irritation
nangangatog,chills
nangangayayat,muscle wasting
nanghihina,lethargy
nanghihina ang braso at binti,weakness in limbs
nanghihina ang kabilang katawan,weakness of one body side
